Timestamp,Timestamp (Seconds),Algorithm,Avg Key Gen Time (s),Avg Cert Signing Request Time (s),Avg Cert Gen Time (s),Avg Cert Verifying Time (s),,CRT (B),CSR (B),CA Key (B),CA Pem (B),CA Srl (B)
27:44.4,1603603664,rsa 2048,859.9012003,44.02593732,46.96882915,29.73446012,,1001,1704,1704,1115,41
13:10.6,1603606391,rsa 3072,2547.864642,72.00731421,75.8944025,30.1979506,,1346,2484,2484,1464,41
04:02.2,1603613042,rsa 4096,6378.876859,119.4493687,120.8300865,31.17851281,,1692,3272,3268,1809,41
06:10.2,1603613170,dilithium2,28.49838853,32.92347121,35.45411348,31.10159159,,4657,5490,5490,4775,41
08:21.6,1603613302,dilithium3,28.88984036,33.92735219,36.85154176,31.79118752,,5937,6835,6835,6055,41
10:35.3,1603613435,dilithium4,29.22625709,34.0610199,37.56899548,32.75871038,,7229,7700,7700,7347,41
18:10.7,1603613891,falcon512,233.8705659,93.49712873,97.46122241,30.53106451,,2370,3036,3036,2480,41
33:32.5,1603614813,falcon1024,564.4133945,160.6689093,164.4834607,32.23576355,,4422,5636,5636,4527,41
20:16.2,1603617616,rsa3072_dilithium2,2611.451362,76.57996655,82.32280517,33.19807625,,5705,7883,7887,5819,41
07:24.9,1603624045,rsa3072_dilithium3,2577.237051,77.94493532,83.75468564,34.00255895,,6985,9228,9228,7099,41
11:06.3,1603620666,rsa3072_falcon512,2743.608973,135.7650564,137.7047911,32.90839171,,3439,5437,5433,3556,41
13:24.0,1603620804,p256_dilithium2,29.73663568,34.4120605,38.9753015,34.62197447,,4828,5653,5653,4946,41
09:46.2,1603624186,p256_dilithium3,30.19840074,35.37386608,40.29266024,35.42949748,,6112,6997,6997,6225,41
13:10.5,1603624391,p384_dilithium4,40.5666101,46.0529716,62.76510048,54.97987199,,7485,7924,7924,7603,41
21:11.6,1603621272,p256_falcon512,235.3783817,96.80720949,101.2837989,34.06013298,,2569,3207,3207,2679,41
