Timestamp,Timestamp (Seconds),Algorithm,Avg Key Gen Time (s),Avg Cert Signing Request Time (s),Avg Cert Gen Time (s),Avg Cert Verifying Time (s),,CRT (KB),CSR (KB),CA Key (KB),CA Pem (KB),CA Srl (KB)
27:44.4,1603603664,rsa 2048,859.9012003,44.02593732,46.96882915,29.73446012,,0.99,1.69,1.69,1.1,42
13:10.6,1603606391,rsa 3072,2547.864642,72.00731421,75.8944025,30.1979506,,1.33,2.46,2.46,1.45,42
04:02.2,1603613042,rsa 4096,6378.876859,119.4493687,120.8300865,31.17851281,,1.67,3.24,3.24,1.79,42
06:10.2,1603613170,dilithium2,28.49838853,32.92347121,35.45411348,31.10159159,,4.61,5.44,5.44,4.73,42
08:21.6,1603613302,dilithium3,28.88984036,33.92735219,36.85154176,31.79118752,,5.88,6.77,6.77,6,42
10:35.3,1603613435,dilithium4,29.22625709,34.0610199,37.56899548,32.75871038,,7.16,7.63,7.63,7.28,42
18:10.7,1603613891,falcon512,233.8705659,93.49712873,97.46122241,30.53106451,,2.35,3.01,3.01,2.46,42
33:32.5,1603614813,falcon1024,564.4133945,160.6689093,164.4834607,32.23576355,,4.38,5.58,5.58,4.49,42
20:16.2,1603617616,rsa3072_dilithium2,2611.451362,76.57996655,82.32280517,33.19807625,,5.65,7.81,7.81,5.77,42
07:24.9,1603624045,rsa3072_dilithium3,2577.237051,77.94493532,83.75468564,34.00255895,,6.92,9.14,9.15,7.04,42
11:06.3,1603620666,rsa3072_falcon512,2743.608973,135.7650564,137.7047911,32.90839171,,3.41,5.39,5.39,3.52,42
13:24.0,1603620804,p256_dilithium2,29.73663568,34.4120605,38.9753015,34.62197447,,4.78,5.6,5.6,4.9,42
09:46.2,1603624186,p256_dilithium3,30.19840074,35.37386608,40.29266024,35.42949748,,6.05,6.93,6.93,6.17,42
13:10.5,1603624391,p384_dilithium4,40.5666101,46.0529716,62.76510048,54.97987199,,7.42,7.85,7.85,7.54,42
21:11.6,1603621272,p256_falcon512,235.3783817,96.80720949,101.2837989,34.06013298,,2.54,3.18,3.18,2.65,42
