Timestamp,Timestamp (Seconds),Algorithm,Algorithm (human readable),Sec Level,Avg Key Gen Time (ms),Avg Cert Signing Request Time (ms),Avg Cert Gen Time (ms),Avg Cert Verifying Time (ms),,CRT (B),CSR (B),CA Key (B) (key_srv),CA Pem (B) (key_crt),CA Srl (B)
01:29.5,1615222889,rsa 2048,RSA 2048,1,54.36444283,2.794742584,2.770423889,1.739501953,,,899,1704,1001,
01:29.6,1615222890,rsa 3072,RSA 3072,1,47.22309113,3.956317902,3.987073898,1.784563065,,,1245,2484,1346,
01:30.4,1615222890,rsa 4096,RSA 4096,1,672.1553802,6.370067596,6.465435028,1.967906952,,,1590,3272,1692,
01:30.4,1615222890,dilithium2,Dilithium 2,2,1.617670059,1.893758774,1.960515976,1.787185669,,,5238,5295,5340,
01:30.4,1615222890,dilithium3,Dilithium 3,3,1.678466797,2.235889435,2.192735672,2.021551132,,,7290,8155,7391,
01:30.4,1615222890,dilithium5,Dilithium 5,5,1.689195633,1.89781189,2.116918564,2.00676918,,,9918,10194,10020,
01:30.4,1615222890,dilithium2_aes,Dilithium 2 with AES,2,1.590013504,1.867771149,1.989126205,1.846313477,,,5238,5295,5340,
01:30.4,1615222890,dilithium3_aes,Dilithium 3 with AES,3,1.650571823,1.849889755,2.082586288,1.875400543,,,7290,8155,7391,
01:30.4,1615222890,dilithium5_aes,Dilithium 5 with AES,5,1.646518707,1.858472824,2.21657753,1.870393753,,,9918,10194,10020,
01:30.5,1615222890,falcon512,Falcon 512,1,7.218837738,2.096176147,2.195835114,1.836776733,,,2276,3036,2366,
01:30.5,1615222891,falcon1024,Falcon 1024,5,20.88165283,2.360343933,2.448320389,1.90114975,,,4324,5636,4414,
01:30.7,1615222891,rainbowIclassic,Rainbow I Classic,1,95.21198273,5.1176548,8.635282516,7.959127426,,,219100,359285,219198,
01:31.0,1615222891,rainbowIcircumzenithal,Rainbow I Circumzenithal,1,105.951786,4.285573959,6.665706635,6.145238876,,,81771,221960,81869,
01:31.3,1615222891,rainbowIcompressed,Rainbow I Compressed,1,105.1809788,47.66893387,49.84211922,6.001710892,,,81771,81686,81869,
01:34.0,1615222894,rainbowIIIclassic,Rainbow III Classic,3,1269.752264,25.87485313,49.2272377,45.16196251,,,1194884,2042350,1194982,
01:37.0,1615222897,rainbowIIIcircumzenithal,Rainbow III Circumzenithal,3,1444.164276,19.93989944,36.61632538,33.7471962,,,358724,1206190,358822,
01:40.2,1615222900,rainbowIIIcompressed,Rainbow III Compressed,3,1103.705883,1.967906952,1.598119736,3.405809402,,,358724,358505,358822,
01:41.2,1615222901,rainbowvclassic,Rainbow V Classic,5,387.0253563,1.912593842,1.562595367,1.512765884,,,2614821,4522113,2614915,
01:41.9,1615222902,rainbowVcircumzenithal,Rainbow V Circumzenithal,5,319.0405369,2.04539299,37.6431942,1.702070236,,,726482,2633777,726580,
01:42.5,1615222903,rainbowVcompressed,Rainbow V Compressed,5,267.0226097,1.926183701,37.34493256,1.706838608,,,726482,726198,726580,
01:42.7,1615222903,rsa3072_dilithium2,RSA 3072 + Dilithium 2,2,38.76042366,1.809835434,1.543521881,1.682758331,,,6294,7688,6392,
01:43.2,1615222903,rsa3072_falcon512,RSA 3072 + Falcon 512,1,209.6040249,1.883745193,1.564264297,3.383636475,,,3349,5437,3439,
01:43.6,1615222904,rsa3072_rainbowIclassic,RSA 3072 + Rainbow I Classic,1,233.8423729,7.538557053,4.437446594,1.667976379,,,220173,361686,220270,
01:44.0,1615222904,rsa3072_rainbowIcircumzenithal,RSA 3072 + Rainbow I Circumzenithal,1,316.1242008,1.886606216,5.772352219,1.613616943,,,82844,224357,82942,
01:44.4,1615222904,rsa3072_rainbowIcompressed,RSA 3072 + Rainbow I Compressed,1,63.96436691,1.990318298,54.66961861,6.335258484,,,82844,84087,82942,
01:43.2,1615222903,p256_dilithium2,P256 + Dilithium 2,2,1.68466568,1.863002777,2.283096313,2.051591873,,,5421,5458,5514,
01:43.2,1615222903,p256_falcon512,P256 + Falcon 512,1,7.255792618,2.376794815,10.81705093,2.288579941,,,2467,3207,2565,
01:43.2,1615222903,p384_dilithium3,P384 + Dilithium 3,3,2.568244934,2.801418304,3.959655762,3.353357315,,,7554,8383,7651,
01:43.3,1615222903,p521_dilithium5,P521 + Dilithium 5,5,3.647089005,3.823757172,5.782604218,5.212545395,,,10284,10495,10377,
01:43.4,1615222903,p521_falcon1024,P521 + Falcon 1024,5,42.1807766,4.328489304,5.944013596,4.969120026,,,4706,5945,4791,
01:44.6,1615222905,p256_rainbowIclassic,P256 + Rainbow I Classic,1,95.26848793,5.438089371,10.07151604,3.107070923,,,219295,359456,219393,
01:44.8,1615222905,p256_rainbowIcircumzenithal,P256 + Rainbow I Circumzenithal,1,106.3871384,4.57572937,7.251739502,6.500482559,,,81966,222131,82064,
01:45.0,1615222905,p256_rainbowIcompressed,P256 + Rainbow I Compressed,1,105.2892208,47.79195786,4.000425339,1.497745514,,,81966,81857,82064,
01:45.3,1615222905,p384_rainbowIIIclassic,P384 + Rainbow III Classic,3,199.37253,2.066135406,1.664400101,1.51348114,,,1195169,2042582,1195262,
01:45.8,1615222906,p384_rainbowIIIcircumzenithal,P384 + Rainbow III Circumzenithal,3,225.9123325,1.885890961,20.55239677,1.828432083,,,359009,1206422,359102,
01:46.3,1615222906,p384_rainbowIIIcompressed,P384 + Rainbow III Compressed,3,228.1713486,2.125263214,20.74050903,1.697540283,,,359009,358737,359102,
01:46.7,1615222907,p521_rainbowVclassic,P521 + Rainbow V Classic,5,223.749876,1.900911331,1.584529877,1.507520676,,,2615199,4522421,2615297,
01:47.2,1615222907,p521_rainbowVcircumzenithal,P521 + Rainbow V Circumzenithal,5,215.7578468,1.94644928,41.91708565,1.729488373,,,726864,2634082,726962,
01:47.6,1615222908,p521_rainbowVcompressed,P521 + Rainbow V Compressed,5,217.8592682,1.873970032,47.26815224,1.69634819,,,726864,726507,726958,
